UPRN,Unique Asset ID,Name of Building/Land,"Street
No.",Street Name,Locality,Postal Town,Postcode,Easting,Northing,Ownership,"occupied by
local
authority*
(physical
occupation
of the","ground
leasehold",leasehold,Licence,vacant,Other,"Land or land &
building"
10014280260,CAI/OF/01,Ebley Mill,,Ebley Wharf,Ebley,Stroud,GL5 4UB,X: 382964,Y: 204581,Freehold,Yes,,lease out of part,Licence of part out,,Land & Building,
100120532622,CAI/OF/01/02,Meadow Lodge,,Ebley Wharf,Ebley,Stroud,GL5 4UB,X: 382984,Y: 204518,Freehold,Yes,,,,,Service Occupancy Agreement,Land & Building
,CAI/OF/01/03,Glue Shed,,Ebley Wharf,Ebley,Stroud,GH5 4UB,X: 382928,Y: 204573,Freehold,Yes,,,,,,Land & Building
200001494256,STR/CO/01,Subscription Rooms,,George Street,,Stroud,GL5 1AE,X: 385109,Y: 205163,Freehold,Yes,,,,,,Land & Building
100121251539,DUR/LE/01,Dursley Pool,,Castle Street,,Dursley,GL11 4BS,X: 375469,Y: 198283,Freehold,Yes,,,,,,Land & Building
200003124238,STR/LE/01,Stratford Park Leisure Centre,,Stratford Road,,Stroud,GL5 4AF,X: 384526,Y: 205733,Freehold,,,,,,Leisure Management Contract in place,Land & Building
10014283594,STR/LE/01,Stratford Park Leisure Centre Outdoor Pool,,Stratford Road,,Stroud,GL5 4AF,X: 384486,Y: 205728,Freehold,,,,,,Leisure Management Contract in place,Land & Building
200003124238,STR/LE/02/08,Stratford Park Creche,,Stratford Road,,Stroud,GL5 4AS,X: 384500,Y: 205689,Freehold,,,Lease out,,,,Land & Building
200003124238,STR/LE/02/06,Stratford Park Bowls Club,,Stratford Road,,Stroud,GL5 4AS,X: 384455,Y: 205693,Freehold,,,Lease out,,,,Land & Building
10001166232,STR/LE/02,Stratford Park,,Stratford Road,,Stroud,GL5 4AS,X: 384692,Y: 205767,Freehold,,,,Licence of part out,,Land,
10014281621,STR/LE/01/04,Stratford Court Playing Fields,,Stratford Road,,Stroud,GL5 4AQ,X: 384494,Y: 205491,Freehold,,,,,,,Land & Building
10014281620,STR/LE/01/01,Stratford Court Pavilion,,Stratford Road,,Stroud,GL5 4AQ,X: 384515,Y: 205532,Freehold,,,Lease out,,,,Land & Building
100120531885,STR/LE/01/05,Stratford Court Pavilion (No 2 Square),,Stratford Road,,Stroud,GL5 4AQ,X: 384529,Y: 205532,Freehold,,,Lease out,,,,Land & Building
100121255484,STR/LE/02/01,Stratford Park Museum & Walled Garden,,Stratford Road,,Stroud,GL5 4AF,X: 384660,Y: 205693,Freehold,Yes,,,,,,Land & Building
200003103952,STR/MU/01,Cowle Museum,,Lansdown,,Stroud,GL5 1BB,X: 385188,Y: 205384,Leasehold,Yes,,Lease in,,,,Land & Building
10009416297,STR/CE/01,Brimscombe Cemetery,,Brimscombe Hill,Brimscombe,Stroud,GL5 2PA,X: 386948,Y: 201981,Freehold,,,,,,,Land
10014283381,NYM/MI/01,Radio Station Nympsfield,,Stone Hill,Nympsfield,Stonehouse,,X: 379918,Y: 200831,Freehold,,,,Licence out,,,Land & buildings
10001167078,BER/PC/01,Public convenience,,Marybrook Street,,Berkeley,,X: 368341,Y: 199385,Freehold,,,,,,,Land & buildings
10014280763,DUR/PC/02,Public convenience,,Castle Street,,Dursley,,X: 375465,Y: 198239,Freehold,,,,,,,Land & buildings
10014280764,DUR/PC/01,Public convenience,,Hill Road,,Dursley,,X: 375367,Y: 198067,Freehold,,,,,,,Land & buildings
200003108547,STR/PC/01,Public convenience,,Bell Lane,Minchinhampton,Stroud,,X: 387189,Y: 200777,Freehold,,,,,,,Land & buildings
100121373709,NAI/PC/02,Public convenience,,Old Market,Nailworth,Stroud,,X: 384965,Y: 199629,Freehold,,,,,,,Land & buildings
200003117317,PAI/PC/01,Public convenience,,Stamages Lane,Painswick,Stroud,,X: 386550,Y: 209545,Freehold,,,,,,,Land & buildings
10001167988,STO/PC/01,Public convenience,,High Street,,Stonehouse,,X: 380571,Y: 205426,Freehold,,,,,,,Land & buildings
10009415394,STR/PC/01,Public convenience,,Bedford Street,,Stroud,,X: 385121,Y: 205179,Freehold,,,,,,,Land & buildings
200003109631,STR/PC/02,Public convenience - Brunel Mall,,London Road,,Stroud,,X: 385180,Y: 205003,Freehold,,,,,,,Land & buildings
200003109389,CAI/PC/01,Public convenience - Cainscross car park,,Westward Road,Cainscross,Stroud,,X: 383437,Y: 205053,Freehold,,,,,,,Land & buildings
200003109343,WOT/MI/01,Public convenience,,Rope Walk,,Wotton-Under-Edge,,X: 375641,Y:193228,Freehold,,,,,,,Land & buildings
